,category,description,link,id,updated_at,price,type,name,created_at
913,Electronics/Television & Video/Televisions/Smart TVs,"LG 43'' 4K UHD UQ8000 Series, 4K Active HDR WebOS Smart ThinQ AIKSh 59,000KSh 76,00022%",https://www.jumia.co.ke/lg-43-4k-uhd-uq8000-series-4k-active-hdr-webos-smart-thinq-ai-150776581.html,e7c7233b-b675-4465-9899-cf7b03ccad9e,2023-10-24T14:51:38,"KSh 59,000",lg+tv+43,LG 43'' 4K UHD UQ8000 Series,2023-10-24T14:51:38
914,Electronics/Television & Video/Televisions/Smart TVs,"LG 43'' 4K UHD FRAMELESS TV HDR WebOS Smart AI ThinQ 43UP7550PVG  - 2021KSh 58,000KSh 68,00015%",https://www.jumia.co.ke/lg-43-4k-uhd-frameless-tv-hdr-webos-smart-ai-thinq-43up7550pvg-2021-67964082.html,e829b3e4-f490-49a0-9779-926b0dffb28c,2023-10-24T14:50:04,"KSh 58,000",lg+tv+43,LG 43'' 4K UHD FRAMELESS TV HDR WebOS Smart AI ThinQ 43UP7550PVG  - 2021,2023-10-24T14:50:04
915,Home & Office/Home & Kitchen/Kitchen & Dining/Cutlery & Knife Accessories/Knife Sets/Knife Block Sets,"Generic 7pc Knife Set +chopping Board/chopping Board/knifeKSh 1,899KSh 3,50046%3.5 out of 5(2)",https://www.jumia.co.ke/generic-7pc-knife-set-chopping-boardchopping-boardknife-84587667.html,e883153e-9bd7-4e76-b0ad-dbfde8d51104,2023-10-22T13:56:41,"KSh 1,899",knives,Generic 7pc Knife Set +chopping Board/chopping Board/knife,2023-10-22T13:56:41
916,Home & Office/Home & Kitchen/Kitchen & Dining/Cutlery & Knife Accessories/Knife Sets/Knife Block Sets,"Rashnik 7pcs Kitchen Knife Set With Wood StandKSh 1,689KSh 2,30027%",https://www.jumia.co.ke/rashnik-7pcs-kitchen-knife-set-with-wood-stand-161860509.html,e89a4f96-02f0-4a3d-97f2-c59c1e273fe7,2023-10-22T13:56:42,"KSh 1,689",knives,Rashnik 7pcs Kitchen Knife Set With Wood Stand,2023-10-22T13:56:42
917,Home & Office/Home & Furniture/Lighting/Lighting Bulbs & Component/Lighting Bulb/Specialty Bulb,Dp Light 30W LED Rechargeable Bulb With USB - 30 WKSh 680offers from4.8 out of 5(4),https://www.jumia.co.ke/30w-led-rechargeable-bulb-with-usb-30-w-dp-light-mpg597154.html,e9b9e80f-b9aa-4a1c-9a00-1f24c5d77e22,2023-10-22T13:49:56,KSh 680,bulbs,Dp Light 30W LED Rechargeable Bulb With USB - 30 W,2023-10-22T13:49:56
918,Electronics/Television & Video/Televisions/Smart TVs,"LG 43” FULL HD SMART TV, NETFLIX, YOUTUBE 43LM6300PVBKSh 47,990KSh 59,00019%",https://www.jumia.co.ke/43-full-hd-smart-tv-active-hdr-netflix-43lm6370-lg-mpg603486.html,e9dccd50-14b4-43ee-899e-58d00dc681be,2023-10-24T17:43:58,"KSh 47,990",lg+tv+43,LG 43” FULL HD SMART TV,2023-10-24T17:43:58
919,Electronics/Television & Video/Televisions/Smart TVs,"LG 43'' 4K UHD UQ8000 Series, 4K Active HDR WebOS Smart ThinQ AIKSh 59,000KSh 76,00022%",https://www.jumia.co.ke/lg-43-4k-uhd-uq8000-series-4k-active-hdr-webos-smart-thinq-ai-150776581.html,ea180152-b0d6-4c93-8c93-0d716ae6c0ac,2023-10-23T20:51:33,"KSh 59,000",lg+tv+43,LG 43'' 4K UHD UQ8000 Series,2023-10-23T20:51:33
920,Home & Office/Home & Furniture/Lighting/Lighting Bulbs & Component/Lighting Bulb/Specialty Bulb,"Dp 60 LED Rechargeable Emergency LampKSh 1,275KSh 1,80029%offers from4.4 out of 5(65)",https://www.jumia.co.ke/60-led-rechargeable-emergency-lamp-dp-mpg647655.html,ea33f10c-1878-4c9c-b1ff-740f8a328e0c,2023-10-22T13:53:02,"KSh 1,275",bulbs,Dp 60 LED Rechargeable Emergency Lamp,2023-10-22T13:53:02
921,Electronics/Television & Video/Televisions/Smart TVs,"LG 43” FULL HD SMART TV, NETFLIX, YOUTUBE 43LM6370PVAKSh 44,899KSh 57,00021%",https://www.jumia.co.ke/43-full-hd-smart-tv-netflix-youtube-43lm6370pva-lg-mpg957438.html,ea6abcff-5755-4d65-97c5-ac144c42f7c5,2023-10-24T14:51:36,"KSh 44,899",lg+tv+43,LG 43” FULL HD SMART TV,2023-10-24T14:51:36
922,Electronics/Television & Video/Televisions/Smart TVs,"LG 43'' FULL HD SMART TV, ACTIVE HDR, NETFLIX, CHROMECAST 43LM6300PVBKSh 47,990KSh 58,00017%",https://www.jumia.co.ke/lg-43-full-hd-smart-tv-active-hdr-netflix-chromecast-43lm6300pvb-67964060.html,eadb3647-9d1b-436a-8fce-de0f92a0f704,2023-10-24T15:30:01,"KSh 47,990",lg+tv+43,LG 43'' FULL HD SMART TV,2023-10-24T15:30:01
923,Electronics/Television & Video/Televisions/Smart TVs,"LG 43UP7750 - 43"" 4K UHD Smart Frameless LED TV - Black 2022KSh 49,995KSh 69,00028%offers from",https://www.jumia.co.ke/43up7750-43-4k-uhd-smart-frameless-led-tv-black-2022-lg-mpg1290972.html,eaf1cf1e-9b31-497d-babe-628bf56043c0,2023-10-23T20:51:31,"KSh 49,995",lg+tv+43,"LG 43UP7750 - 43"" 4K UHD Smart Frameless LED TV - Black 2022",2023-10-23T20:51:31
924,Home & Office/Home & Furniture/Lighting/Lighting Bulbs & Component/Lighting Bulb/Specialty Bulb,"Generic E27 15W WiFi Smart Bluetooth Color BulbKSh 1,290KSh 1,69024%3.7 out of 5(3)",https://www.jumia.co.ke/generic-e27-15w-wifi-smart-bluetooth-color-bulb-135006939.html,eb2dcdae-149c-4081-b557-415450275a5e,2023-10-22T13:53:02,"KSh 1,290",bulbs,Generic E27 15W WiFi Smart Bluetooth Color Bulb,2023-10-22T13:53:02
925,Electronics/Television & Video/Televisions/Smart TVs,"LG 43'' 4K ULTRA HD SMART TV, DTS:X, MAGIC REMOTE, YOU-TUBE- 43UP77KSh 56,500KSh 68,00017%",https://www.jumia.co.ke/lg-43-4k-ultra-hd-smart-tv-dtsx-magic-remote-you-tube-43up77-67964090.html,eb309210-ece1-42cf-bf05-ebbfc60a44d6,2023-10-24T14:52:06,"KSh 56,500",lg+tv+43,LG 43'' 4K ULTRA HD SMART TV,2023-10-24T14:52:06
